"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"C1";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C2";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C3";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C4";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C5";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C6";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C7";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C8";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C9";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C10";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C11";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"C12";"10nf";"DIP-CERAMIC-DISC-10NF-50V-Y5V(D4.0MM)";"CERAMIC-2.54";"302010202";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nf";
"IC1";"OPA2134_DIP";"OPA2134_DIP";"DIP826W53P254L959H508Q8B";"Audio Operational Amplifier";"Amplifier";"Audio Operational Amplifier ";"Texas Instruments";"Generic";"";"";"";"";"";"OPA2134";"OpAmp";"";"Audio";"";
"IC2";"OPA2134_DIP";"OPA2134_DIP";"DIP826W53P254L959H508Q8B";"Audio Operational Amplifier";"Amplifier";"Audio Operational Amplifier ";"Texas Instruments";"Generic";"";"";"";"";"";"OPA2134";"OpAmp";"";"Audio";"";
"J1";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED2";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED3";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED4";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED5";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED6";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED7";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED8";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED9";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED10";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED11";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED12";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED13";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"LED14";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";
"R1";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R2";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R3";"1k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"";"";"";"";"";"";"";"RES-12182";"";"";"";"";"";"1k";
